nid,"parent_nid","name","serial","type","latitude","longitude","status"
20,"0","Provinsi Kalimantan Barat","61","1","-1.20841","111.17065","1"
21,"0","Provinsi Kalimantan Tengah","62","1","-2.20771","113.26904","1"
22,"0","Provinsi Kalimantan Selatan","63","1","-3.37086","115.94421","1"
23,"0","Provinsi Kalimantan Timur","64","1","-0.04395","116.75171","1"
24,"0","Provinsi Kalimantan Utara","65","1","2.76199","116.66382","1"
